2026-04-19 15:33:35,889 | INFO | cftc_cot_fetcher |   2022: 11,526 total rows, 191 columns
2026-04-19 15:33:35,893 | INFO | cftc_cot_fetcher |   2022: 52 gold COT rows
2026-04-19 15:33:35,894 | INFO | cftc_cot_fetcher |   Downloading CFTC COT 2023: https://www.cftc.gov/files/dea/history/fut_disagg_txt_2023.zip
2026-04-19 15:33:39,431 | INFO | cftc_cot_fetcher |   2023: 12,534 total rows, 191 columns
2026-04-19 15:33:39,435 | INFO | cftc_cot_fetcher |   2023: 52 gold COT rows
2026-04-19 15:33:39,436 | INFO | cftc_cot_fetcher |   Downloading CFTC COT 2024: https://www.cftc.gov/files/dea/history/fut_disagg_txt_2024.zip
2026-04-19 15:33:43,113 | INFO | cftc_cot_fetcher |   2024: 13,601 total rows, 191 columns
2026-04-19 15:33:43,118 | INFO | cftc_cot_fetcher |   2024: 53 gold COT rows
2026-04-19 15:33:43,119 | INFO | cftc_cot_fetcher |   Downloading CFTC COT 2025: https://www.cftc.gov/files/dea/history/fut_disagg_txt_2025.zip
2026-04-19 15:33:47,307 | INFO | cftc_cot_fetcher |   2025: 13,630 total rows, 191 columns
2026-04-19 15:33:47,311 | INFO | cftc_cot_fetcher |   2025: 52 gold COT rows
2026-04-19 15:33:47,312 | INFO | cftc_cot_fetcher |   Downloading CFTC COT 2026: https://www.cftc.gov/files/dea/history/fut_disagg_txt_2026.zip
2026-04-19 15:33:51,256 | INFO | cftc_cot_fetcher |   2026: 4,036 total rows, 191 columns
2026-04-19 15:33:51,259 | INFO | cftc_cot_fetcher |   2026: 15 gold COT rows
2026-04-19 15:33:51,320 | INFO | cftc_cot_fetcher |   Total COT rows: 693  (2013-01-08 → 2026-04-14)
2026-04-19 15:33:51,366 | INFO | cftc_cot_fetcher | CFTC COT done — 693 rows at data/raw/cftc_cot/2026-04-19_cot_gold_disaggregated.parquet
